許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派01-300681,株式会社　エヌ・ティ・ティ・データ北海道,株式会社　エヌ・ティ・ティ・データ北海道,北海道札幌市北区北十条西三丁目9ｰ2　ＴＨＥ　ＰＬＡＣＥ　ＳＡＰＰＯＲＯ　2Ｆ,011-281-7001,,,
派01-300683,株式会社フィーリスト,株式会社フィーリスト,北海道札幌市中央区北三条西二丁目1番地　カミヤマビル６階,011-252-9072,,,
派01-300684,株式会社　クラスソフト,株式会社　クラスソフト,北海道札幌市中央区北2条西2丁目34番地　フージャース札幌ビル5階,011-223-3633,8人,,ソフトウェア請負開発、運用・保守サービス
派01-300685,ニューイング・ソフト　株式会社,ニューイング・ソフト　株式会社,北海道札幌市中央区大通東三丁目1番27　富士ビル4Ｆ,011-200-2822,,,
派01-300686,株式会社　ノーステック,株式会社　ノーステック,北海道札幌市中央区北一条西四丁目2番地2　札幌ノースプラザ8階,011-232-5220,,,
派01-300687,株式会社　ネクシス,株式会社　ネクシス,北海道札幌市中央区北一条西2丁目2番地　北海道経済センター９階,011-231-6555,,,
派01-300688,株式会社　アルト技研,株式会社　アルト技研,北海道札幌市西区発寒6条11丁目1番1号,011-668-8411,0人,0件,
派01-300689,株式会社　デンリ,株式会社　デンリ,北海道札幌市中央区南4条西1丁目1番地2　第87松井ビル7F　705号室,011-513-3125,7人,2件,
派01-300690,株式会社　アクトシステムズ,株式会社　アクトシステムズ,北海道札幌市中央区北1条西20丁目1番27号　井門札幌Ｎ120ビル７階,011-632-8877,,,
派01-300691,株式会社　クリエイティブ・コンサルタント,株式会社　クリエイティブ・コンサルタント,北海道札幌市中央区北1条東2丁目5番地3　塚本ビル北1館2階,011-210-7130,,,
派01-300692,株式会社　ソフトガーデン,株式会社　ソフトガーデン　本社,北海道札幌市中央区南一条東三丁目10番13号　ｱｲﾊﾟｽﾋﾞﾙ3階303号室,011-211-4435,,,
派01-300693,株式会社　ケイワークス,株式会社　ケイワークス,北海道札幌市中央区北二条東1丁目5番地2 E-horizon北2条4F,011-219-2870,,,
派01-300694,メデイア・プロジェクト　株式会社,メデイア・プロジェクト　株式会社,北海道札幌市中央区南2条西7丁目4番地1　第7松井ビル6階,011-271-4208,,,
派01-300696,トエツ・ジャパン株式会社,トエツ・ジャパン株式会社,北海道札幌市中央区南2条東2丁目8番地1　大都ビル701,011-806-3380,,,
派01-300697,北都システム株式会社,北都システム株式会社,北海道札幌市厚別区厚別中央二条三丁目5番11号,011-896-7571,,,
派01-300698,エムズアーキテクト　株式会社,エムズアーキテクト　株式会社,北海道札幌市中央区南二条西七丁目6番地2　南2条ビル９Ｆ,011-299-1620,,,
派01-300699,株式会社　ジーティーアドバンス,株式会社　ジーティーアドバンス,北海道札幌市中央区北四条西十二丁目1番地28　北4条ビル2F,011-876-9843,,,
派01-300700,株式会社　ブリッヂ,株式会社　ブリッヂ,北海道札幌市豊平区豊平五条六丁目２番３５号,011-827-8349,,,
派01-300701,株式会社　ＳＰＩ,株式会社　ＳＰＩ,北海道千歳市富士一丁目1番地5,0123-25-9212,,,
派01-300703,株式会社　ホクシンシステム,株式会社　ホクシンシステム,北海道札幌市中央区南三条東二丁目1番地　サンシャインビル3階,011-522-9234,,,
派01-300704,株式会社　菱和,株式会社　菱和,北海道岩見沢市北三条西十七丁目2番13号,0126-22-5289,,,
派01-300705,株式会社　フォルクラング,株式会社　フォルクラング,北海道札幌市北区北六条西一丁目3番地8　38山京ビル902号室,011-708-7722,,,
派01-300706,株式会社　アベールジャパン,株式会社　アベールジャパン　北海道支社,北海道札幌市中央区大通西4丁目6番地1　札幌大通西4ビル10階,011-522-6464,87人,72件,
派01-300707,株式会社　プリズム,株式会社　プリズム,北海道札幌市北区北6条西1丁目3番地8　38山京ビル9階,011-700-3838,,,
派01-300708,株式会社　ミツヤ,株式会社　ミツヤ,北海道札幌市白石区北郷二条四丁目6番27号,011-879-5888,,,
派01-300709,株式会社　日本システムデザイン,株式会社　日本システムデザイン　システム開発部,北海道室蘭市陣屋町3丁目16番12号,0143-59-6625,6人,1件,ソフトウエア設計、プログラム製作
派01-300710,株式会社　稲田組,株式会社　稲田組,北海道札幌市豊平区月寒中央通三丁目1番10号,011-851-6586,,,
派01-300711,株式会社　田端本堂カンパニー,株式会社　田端本堂カンパニー,北海道三笠市岡山359番地1,01267-2-7300,,,
派01-300713,株式会社　大進エンジニアリング,株式会社　大進エンジニアリング,北海道苫小牧市小糸井町一丁目1番19号,0144-84-3270,1人,1件,
派01-300714,北海道電気技術サービス　株式会社,北海道電気技術サービス　株式会社  ,北海道江別市西野幌120番地8,011-384-8888,,,
派01-300715,株式会社　北海道キューブシステム,株式会社　北海道キューブシステム,北海道札幌市中央区北一条西七丁目4－4,011-271-5600,,,
派01-300717,山登運輸　株式会社,山登運輸　株式会社,北海道札幌市東区東雁来四条一丁目1番23号,011-781-4111,2人,2件,
派01-300718,株式会社　フィット,株式会社　フィット,北海道札幌市東区北8条東3丁目1番1号　宮村ビル4階,011-742-3716,,,電子回路設計、機械設計、ソフトウェア開発設計
派01-300720,極東警備保障　株式会社,極東警備保障　株式会社,北海道旭川市永山北一条十丁目11番19号,0166-47-2636,,,
派01-300721,北豊興業　株式会社,北豊興業　株式会社,北海道茅部郡森町字森川町291番地の134,01374-2-6108,,,
派01-300722,株式会社　タイレン,株式会社　タイレン,北海道札幌市東区北十九条東七丁目2番22号　エスモビル1階,090-6699-8272,,,
派01-300725,株式会社　西塚清掃社,株式会社　西塚清掃社,北海道空知郡上富良野町北町一丁目4番10号,0167-45-2312,,,
派01-300726,株式会社　夢天,株式会社　夢天,北海道札幌市南区藤野五条五丁目28番10号,011-594-7220,,,
派01-300729,北海道ビルメンテナンス　株式会社,北海道ビルメンテナンス　株式会社,北海道札幌市豊平区美園5条6丁目1番1号　NA・GIビル2階,011-820-3801,,,
派01-300732,株式会社　管研,株式会社　管研,北海道札幌市手稲区新発寒7条1丁目1番26号,011-664-8881,,,
派01-300733,ＳＣＳＫ北海道　株式会社,ＳＣＳＫ北海道　株式会社,北海道札幌市中央区北1条西6丁目1番地2　アーバンネット札幌ビル4階,011-206-3700,11人,2件,
派01-300734,株式会社　電通システム,株式会社　電通システム,北海道札幌市中央区南一条東三丁目10番地1　北海道日伊文化会館　新館6階,011-223-3305,,,
派01-300735,榊設備工業　株式会社,榊設備工業　株式会社,北海道釧路市貝塚二丁目6番25号,0154-43-1289,,,
派01-300736,株式会社　ＧＯＯＤ　ＲＵＤＤＥＲ,株式会社　ＧＯＯＤ　ＲＵＤＤＥＲ,北海道札幌市中央区南2条西6丁目14番地　大友ビル５Ｆ,011-200-0833,,,
派01-300737,株式会社　丹寿,株式会社　丹寿,北海道札幌市北区新琴似10条17丁目1番1号　和巧ビル,011-733-8140,,,
派01-300738,株式会社　北海道総合技術研究所,株式会社　北海道総合技術研究所,北海道札幌市中央区南一条西十丁目3番地　南一条道銀ビル3階,011-206-8711,,,
派01-300739,株式会社　ホットウェーブ,株式会社　ホットウェーブ　白石オフィス,北海道札幌市豊平区美園1条6丁目2番8号　コーポラススプレンダー１Ｆ,011-826-3547,12人,,受託開発ソフトウェア
派01-300740,株式会社　北央情報サービス,株式会社　北央情報サービス,北海道札幌市中央区北一条西三丁目3番地　敷島プラザビル3Ｆ,011-206-8210,16人,7件,ソフトウェア開発
派01-300743,株式会社　フロンティア技研,株式会社　フロンティア技研,北海道札幌市中央区北三条西三丁目1番25　メットライフ札幌北三条ビル3階,011-200-5560,,,
派01-300744,株式会社　札幌映像プロダクション,株式会社　札幌映像プロダクション,北海道札幌市中央区北一条西八丁目1番地1　ＳＴＶアネックス４階,011-271-6418,,,
派01-300745,株式会社　デジックアドヴァンス,株式会社　デジックアドヴァンス,北海道札幌市中央区大通西5丁目11番地　大五ビル5階,011-211-8850,12人,2件,
派01-300746,株式会社　アイエスアイ,株式会社　アイエスアイ,北海道札幌市中央区南一条西五丁目16番地　プレジデント松井ビル100　504A-1,011-522-5676,,,
派01-300747,株式会社　札幌ネットワークス,株式会社　札幌ネットワークス,北海道札幌市中央区大通東四丁目1番3　2F,011-241-8070,,,
派01-300748,株式会社　コーセイ,株式会社　コーセイ,北海道札幌市中央区北二条西十三丁目1番地38,011-211-6270,,,
派01-300749,株式会社　サビスコ,株式会社　サビスコ,北海道札幌市中央区北五条西五丁目2番地12　住友生命札幌ビル　4階,011-221-4836,,,
派01-300750,株式会社　アジェンダ,株式会社　アジェンダ,北海道札幌市中央区北三条西二丁目2番地1　ＮＸ札幌ビル7階,011-215-0610,,,
派01-300751,株式会社　北海道日立システムズ,株式会社　北海道日立システムズ,北海道札幌市中央区大通西三丁目11番地,011-281-7311,,,
派01-300752,株式会社　丸井増井工務店,株式会社　丸井増井工務店,北海道札幌市東区北34条東6丁目1番6号　2階,011-742-7113,0人,1件,
派01-300753,株式会社　ソフトコム,株式会社　ソフトコム　本社,北海道札幌市中央区北1条西3丁目3番地　敷島北一条ﾋﾞﾙ9階,011-219-1313,,,
派01-300754,キョーツー株式会社,キョーツー株式会社,北海道北斗市追分3丁目2番8号,0138-48-6288,,,
派01-300755,株式会社　アプリシステムズ,株式会社　アプリシステムズ,北海道函館市五稜郭町1番14号　五稜郭114ビル4Ｆ,0138-54-6511,,,
派01-300756,有限会社　小西電気商会,有限会社　小西電気商会,北海道久遠郡せたな町瀬棚区本町159番地,0137-87-3024,2人,1件,
派01-300757,一般財団法人　北海道開発協会,一般財団法人　北海道開発協会,北海道札幌市北区北11条西2丁目2番17号　セントラル札幌北ビル,011-709-5211,,,
派01-300758,株式会社　Ｏｌｉｖｉｅｒ,株式会社　Ｏｌｉｖｉｅｒ,北海道札幌市中央区北四条西五丁目1　アスティ45　8階,011-596-0103,,,
派01-300760,寒地開発エンジニアリング　株式会社,寒地開発エンジニアリング　株式会社,北海道札幌市豊平区月寒西1条7丁目9番16号　ラ・テール久月301号,011-853-7100,,,
派01-300761,株式会社　アドヴアンスト・ソフト・エンジニアリング,株式会社　アドヴアンスト・ソフト・エンジニアリング,北海道札幌市厚別区下野幌テクノパーク一丁目2番16号,011-807-6477,,,
派01-300762,平田技術コンサルタント　株式会社,平田技術コンサルタント　株式会社,北海道帯広市西一条南二十二丁目3番地2　2階,0155-24-6233,1人,1件,
派01-300763,株式会社　イクシズ,株式会社　イクシズ,北海道札幌市白石区本郷通八丁目北7番1号　山口ﾋﾞﾙ2階,011-598-7533,,,
派01-300765,内外エンジニアリング北海道　株式会社,内外エンジニアリング北海道　株式会社,北海道札幌市中央区南1条東1丁目3番地　パークイースト札幌2階,011-271-8511,,,
派01-300766,株式会社　スリーエス,株式会社　スリーエス,北海道札幌市東区北六条東四丁目1番地7　ｄｅＡＵＮＥさっぽろ13階,011-788-8117,8人,7件,
派01-300767,有限会社　三国設計事務所,有限会社　三国設計事務所,北海道室蘭市母恋北町2丁目5番5号　母恋ハイツ101、102号,0143-22-6805,32人,1件,
派01-300769,Ｌ・Ｓテック　有限会社,Ｌ・Ｓテック　有限会社,北海道札幌市中央区北1条西18丁目1番地　北1条プラスビル401号室,011-632-4321,,,
派01-300770,ランドスタッフ　有限会社,ランドスタッフ　有限会社,北海道札幌市中央区北1条西18丁目1番地　北1条プラスビル402号室,011-632-4320,,,
派01-300771,エイチ・ジェイ・ケイ株式会社,エイチ・ジェイ・ケイ株式会社　事業本部,北海道上川郡東川町東町2丁目1-16,0166-82-4561,,,
派01-300772,株式会社　ＳＩＣＣ,株式会社　ＳＩＣＣ,北海道札幌市白石区流通センター五丁目3番45号　月寒運輸株式会社物流ターミナル２階,011-846-5655,,,
派01-300773,プリンシプル・スタッフ　合同会社,プリンシプル・スタッフ　合同会社,北海道旭川市六条通8-36-25　セントラル旭川ビル３Ｄ,0166-76-1062,58人,6件,農作業、製造業
派01-300774,株式会社　HKS　JAPAN,株式会社　HKS　JAPAN　本社,北海道千歳市富丘四丁目1-7　ダイヤモンドビル2F,0123-21-8092,,,
派01-300775,株式会社　イメージランド,株式会社　イメージランド,北海道札幌市中央区南2条西12丁目323番地　212ビル５Ｆ・６Ｆ,011-271-0271,,,
派01-300776,株式会社　アイビーウェア,株式会社　アイビーウェア,北海道札幌市中央区北三条西三丁目1番6号　札幌小暮ビル８F,011-251-2575,,,
派01-300777,株式会社　チームワーク,株式会社　チームワーク　栄町営業所,北海道北広島市栄町1丁目4番地4　パステルハウス205号,011-376-8877,,,
派01-300779,株式会社　京和エンジニアリング,株式会社　京和エンジニアリング本店,北海道苫小牧市東開町三丁目20番28号,0144-55-5588,1人,1件,
派01-300781,株式会社　宮谷工業,株式会社　宮谷工業,北海道古宇郡泊村大字堀株村29番地,0135-75-3966,4人,6件,
派01-300782,株式会社　共栄建設,株式会社　共栄建設,北海道札幌市中央区南十条西一丁目417番地　全国ビル407,011-552-2172,,,
派01-300783,株式会社　実光堂,株式会社　実光堂,北海道旭川市永山北一条十丁目10番18号,0166-47-4666,1人,1件,
派01-300785,エルム建設　株式会社,エルム建設　株式会社,北海道北広島市共栄町四丁目17番地8,011-373-2400,,,
派01-300788,株式会社　エスイーシー,株式会社　エスイーシー,北海道函館市末広町22番1号,0138-22-7188,,,
派01-300788,株式会社　エスイーシー,株式会社　エスイーシー　札幌システムセンター,北海道札幌市中央区南一条西19丁目1番337号,011-640-7787,,,
派01-300789,株式会社　近藤組,株式会社　近藤組,北海道上川郡和寒町字三笠99番地　2階,0165-32-2042,,,
派01-300790,株式会社　トップシーン札幌,株式会社　トップシーン札幌,北海道札幌市中央区大通西八丁目2番30　ﾚｼﾞﾃﾞｨｱ大通西3-D,011-280-3789,10人,3件,
派01-300791,株式会社　北未来技研,株式会社　北未来技研,北海道札幌市中央区北四条西十六丁目1番地1　テルウェル札幌第1ビル7階,011-676-7381,,,
派01-300792,函館環境衛生　株式会社,函館環境衛生　株式会社,北海道函館市金堀町5番23号　3Ｆ,0138-51-7750,3人,1件,
派01-300794,通信土木設計　株式会社,通信土木設計　株式会社,北海道札幌市北区北七条西四丁目1番地1　東カンビル611,011-727-3425,,,
派01-300795,株式会社　エクサネットHAL,株式会社　エクサネットHAL,北海道札幌市厚別区下野幌テクノパーク一丁目1番10号　札幌市エレクトロニクスセンター3階,011-807-6853,,,
派01-300796,株式会社　流域管理研究所,株式会社　流域管理研究所,北海道札幌市中央区北一条東一丁目4番地1　サン経成ビル　301-4号室,011-252-7421,,,
派01-300797,三和美建工業　株式会社,三和美建工業　株式会社,北海道札幌市豊平区豊平六条三丁目5番18号,011-822-4122,49人,13件,清掃、環境整備
派01-300798,株式会社　エスデーピー,株式会社　エスデーピー,北海道札幌市中央区南九条西三丁目2番10号　札幌ＫＳビル７階,011-522-3535,1人,1件,
派01-300799,株式会社　ライフスマイル,株式会社　ライフスマイル,北海道苫小牧市表町一丁目1番5号　黒川ビル3階301室及び3階302室,0144-37-0111,,,
派01-300801,株式会社　星和,株式会社　星和,北海道札幌市東区北十二条東十七丁目1番18号　2階,011-721-7171,,,
派01-300802,株式会社　ワークエイド,株式会社　ワークエイド,北海道札幌市白石区本郷通九丁目北3番18号　２階,011-862-8523,,,
派01-300803,株式会社　環境整備公社,株式会社　環境整備公社,北海道日高郡新ひだか町静内柏台2番6号,0146-42-1145,0人,0件,
派01-300804,システムデザイン開発　株式会社,システムデザイン開発　株式会社,北海道札幌市中央区南一条西十丁目1番2　SDDビル4階・5階,011-281-6770,,,
派01-300805,株式会社　ズコーシャ,株式会社　ズコーシャ,北海道帯広市西十八条北一丁目17番地31,0155-33-4400,0人,0件,電算システム運用
派01-300806,株式会社　エイチ・ビー・シー・フレックス,株式会社　エイチ・ビー・シー・フレックス,北海道札幌市中央区南7条西1丁目13番地73　弘安ビル3階,011-521-6107,,,
派01-300807,株式会社　アサヒ建設コンサルタント,株式会社　アサヒ建設コンサルタント,北海道旭川市八条通十五丁目左4号,0166-23-4526,,,
派01-300808,有限会社　ユーマック,有限会社　ユーマック,北海道札幌市豊平区美園8条6丁目1番1号　カルムイン美園2階,011-818-7177,2人,1件,
派01-300809,有限会社　カワバタ衛生企画,有限会社　カワバタ衛生企画,北海道岩見沢市栗沢町最上8番地6,0126-45-2261,,,
派01-300810,エア・ウォーター物流株式会社,エア・ウォーター物流株式会社,北海道札幌市豊平区月寒東2条16丁目1番6号,011-859-5300,,,
派01-300812,旭川電工運輸有限会社,旭川電工運輸有限会社,北海道旭川市東光2条7丁目5番19号,0166-31-9274,,,
派01-300813,株式会社　アイ・ティー・コネクト,株式会社　アイ・ティー・コネクト,北海道札幌市中央区北1条西3丁目3－33　ReePROビル　８階,011-200-3141,9人,1件,
派01-300814,五大建設コンサルタント　株式会社,五大建設コンサルタント　株式会社,北海道旭川市豊岡十二条二丁目2番9号,0166-35-5533,2人,2件,
派01-300815,株式会社　ルーラルエンジニア,株式会社　ルーラルエンジニア　本店,北海道深川市広里町4丁目1番3号,0164-26-3411,,,
派01-300816,オムロンフィールドエンジニアリング北海道　株式会社,オムロンフィールドエンジニアリング北海道　株式会社,北海道札幌市中央区北三条西一丁目1番地　サンメモリア6階,011-281-5121,0人,0件,
派01-300817,株式会社　リブテック,株式会社　リブテック,北海道札幌市東区北18条東1丁目3番3号　ともえビル4階,011-722-0483,1人,1件,
派01-300818,株式会社　ソーリン,株式会社　ソーリン,北海道札幌市白石区東札幌六条五丁目6番8号　アイコート65　1階,011-827-8565,,,
派01-300819,株式会社　ＣＳ,株式会社　ＣＳ,北海道札幌市中央区北四条西六丁目1番地　毎日札幌会館9F,011-271-0529,,,
派01-300820,有限会社　ランテックス,有限会社　ランテックス,北海道札幌市中央区北1条西18丁目1番地22　北1条プラスビル2階,011-632-9080,,,
派01-300822,清掃センター　株式会社,清掃センター　株式会社,北海道網走市台町2丁目4番地の9,0152-67-9062,,,
派01-300823,日立物流ダイレックス　株式会社,日立物流ダイレックス　株式会社,北海道札幌市東区中沼町5番地3,011-790-2088,,,
派01-300824,株式会社　スクランブル,株式会社　スクランブル,北海道札幌市中央区北一条西七丁目1番地15　札幌あおいﾋﾞﾙ9階,011-209-2277,10人,1件,
派01-300825,株式会社　ノース・テン札幌,株式会社　ノース・テン札幌,北海道札幌市北区新琴似十二条十六丁目2番23号　2階,011-299-2910,,,
派01-300827,Ｔｒｕｓｔｉａ　株式会社,Ｔｒｕｓｔｉａ　株式会社,北海道札幌市中央区北1条西3丁目2番地　井門札幌ビル7階,011-788-3666,,,
派01-300828,株式会社　開発工営社,株式会社　開発工営社,北海道札幌市中央区北四条西五丁目1番地　アスティ45ビル13階,011-207-3666,0人,0件,
派01-300829,株式会社　ｉＤ,株式会社　ｉＤ,北海道函館市本町6番10号　五稜郭ビル2F,0138-35-3313,,,
派01-300830,北海空調　株式会社,北海空調　株式会社,北海道札幌市東区北丘珠二条三丁目3番30号,011-781-1611,,,
派01-300831,旭川暖房設備　株式会社,旭川暖房設備　株式会社,北海道旭川市春光四条七丁目4番16号,0166-53-2005,,,
派01-300832,株式会社　アド・エイト,株式会社　アド・エイト,北海道札幌市中央区北1条西16丁目1-27　北海道たばこ会館3階Ｃ区画,011-299-2451,,,
派01-300833,飯塚企業　有限会社,飯塚企業　有限会社　あけぼの事業所,北海道苫小牧市あけぼの町1丁目5番1号,0144-84-6203,,,
派01-300834,ＦＲＳコーポレーション　株式会社,ＦＲＳコーポレーション　株式会社,北海道札幌市中央区北五条西十八丁目2番地2,011-206-9947,,,
派01-300835,ヒューレック　株式会社,ヒューレック　株式会社,北海道小樽市稲穂2丁目22番8号　小樽駅前第１ビル　４階,0134-65-7761,2人,2件,
派01-300836,株式会社　北海道近代設計,株式会社　北海道近代設計,北海道札幌市中央区南一条西十丁目3番地　南1条道銀ビル3階,011-232-5660,7人,7件,道路構造物点検調査、発注者支援
派01-300837,株式会社　カワサキ,株式会社　カワサキ,北海道札幌市中央区北四条西三丁目1番地　北海道建設会館3F,011-206-4028,1人,5件,
派01-300838,ＴＩＳ北海道　株式会社,ＴＩＳ北海道　株式会社,北海道札幌市中央区南1条東1丁目3番地　パークイースト札幌6階,011-251-5514,,,
派01-300839,株式会社　小林建設,株式会社　小林建設,北海道檜山郡上ノ国町字大留151番地,0139-55-2038,,,
派01-300841,株式会社　田西設計コンサル,株式会社　田西設計コンサル,北海道札幌市西区八軒六条西七丁目2番8号,011-621-5421,1人,1件,
派01-300842,株式会社　ユーエスイー,株式会社　ユーエスイー,北海道札幌市中央区南二条東二丁目8番地　大都ビル7階,011-218-5855,,,
派01-300843,株式会社　エレガンス,株式会社　エレガンス,北海道札幌市中央区南四条東二丁目4番地　丸広清水ビル2階,011-802-6139,,,
派01-300844,株式会社　ユニットシステムエンジニアリング,株式会社　ユニットシステムエンジニアリング,北海道札幌市中央区南一条西六丁目4番地　旭川信金ビル6階,011-242-0210,,,
派01-300845,有限会社　和光,有限会社　和光　中標津営業所,北海道標津郡中標津町西町二丁目38番地,0153-72-2080,,,
派01-300846,株式会社　アイケイ伊藤機械,株式会社　アイケイ伊藤機械,北海道旭川市永山北3条6丁目6番48号,0166-47-8688,,,鉄筋工事業
派01-300847,ランド・スペース・ワークス　株式会社,ランド・スペース・ワークス　株式会社,北海道札幌市中央区北1条西18丁目1番地22　北1条プラスビル3階,011-622-5630,,,
派01-300848,株式会社　エイチ・シー・シー,株式会社　エイチ・シー・シー,北海道釧路市春採八丁目2番10号,0154-46-5311,2人,2件,
派01-300850,株式会社　エイチ・アイ・ディ,株式会社　エイチ・アイ・ディ,北海道札幌市中央区北3条西2丁目10番地2　北酒販・住生札幌ﾋﾞﾙ1階,011-272-3901,,,
派01-300851,株式会社　ダイナシステム,株式会社　ダイナシステム,北海道札幌市北区北9条西3丁目19番地1　ノルテプラザ3階,011-708-6786,,,
派01-300852,堀松建設工業　株式会社,堀松建設工業　株式会社,北海道留萌市住之江町一丁目52番地,0164-42-2538,,,
派01-300852,堀松建設工業　株式会社,堀松建設工業　株式会社　札幌支店,北海道札幌市中央区北1条西6丁目2番地　損保ジャパン札幌ビル7階,011-522-5600,,,
派01-300853,株式会社　キタデン,株式会社　キタデン　本店,北海道札幌市中央区南4条西13丁目1番8号　Ｓ４１３ビル3階,011-512-7222,3人,1件,
派01-300854,株式会社　イノベーション,株式会社　イノベーション,北海道札幌市中央区南1条東2丁目11番地5　南1条タカハタビル5階,011-218-5815,,,
派01-300855,株式会社　パブリックリレーションズ,株式会社　パブリックリレーションズ,北海道札幌市中央区南七条西一丁目13番地　弘安ビル5階,011-520-1800,1人,1件,
派01-300856,北電総合設計　株式会社,北電総合設計　株式会社,北海道札幌市中央区北一条東三丁目1番地1　北電興業ﾋﾞﾙ2階,011-222-4420,0人,0件,
派01-300857,株式会社　計北技研,株式会社　計北技研,北海道札幌市北区新琴似七条一丁目3番30号　アルファヒル麻生701,011-768-8214,7人,1件,
派01-300858,光和技研　株式会社,光和技研　株式会社,北海道室蘭市みゆき町二丁目13番17号,0143-47-7700,1人,1件,機械設計
派01-300859,株式会社　早来輸送,株式会社　早来輸送　本社事業所,北海道勇払郡安平町遠浅707番地,0145-22-2204,20人,1件,自動車運転者
派01-300860,学校法人　桑園学園,学校法人　桑園学園　情報センター,北海道札幌市中央区北五条西十三丁目1番地,011-221-3938,3人,2件,ソフトウェア開発
派01-300861,北海道パワーエンジニアリング　株式会社,北海道パワーエンジニアリング株式会社　本店,北海道札幌市中央区北4条西1丁目1番地　共済ビル2階,011-221-3921,,,
派01-300861,北海道パワーエンジニアリング　株式会社,北海道パワーエンジニアリング株式会社　泊原子力センター,北海道古宇郡泊村大字堀株村字ヘロカルウス789番地　新保修事務所,0135-75-3326,,,
派01-300862,株式会社　ミュートネット,株式会社　ミュートネット,北海道亀田郡七飯町鳴川五丁目12番9号,0138-66-2201,,,
派01-300863,株式会社　ＩＣＨＩ,株式会社　ＩＣＨＩ,北海道札幌市中央区北一条西十八丁目1番41号　CLEVER JAPAN大通ビル6階,011-839-4121,,,
派01-300864,有限会社　ＨＲＡＫ,有限会社　ＨＲＡＫ　一本松営業所,北海道苫小牧市一本松町15番地の128,080-1893-2791,,,
派01-300865,第一建設　株式会社,第一建設　株式会社,北海道室蘭市中島町三丁目3番3号,0143-47-6366,,,
派01-300866,株式会社　シーロックス北一,株式会社　シーロックス北一,北海道苫小牧市一本松町4番3,0144-82-9141,2人,1件,
派01-300867,株式会社　ヨシタカ,株式会社　ヨシタカ,北海道札幌市厚別区厚別東二条二丁目3番10号　小林ビル,011-887-7501,,,
派01-300868,株式会社　ＯＳＴ札幌,株式会社　ＯＳＴ札幌,北海道札幌市中央区北三条西二丁目10番地2　北酒販・住生札幌ﾋﾞﾙ7階,011-211-0415,,,
派01-300869,株式会社　メイセイ・エンジニアリング,株式会社　メイセイ・エンジニアリング,北海道室蘭市中島町三丁目11番2号,0143-43-8113,2人,1件,建設コンサルタント
派01-300870,株式会社　ＲＩＣ,株式会社　ＲＩＣ,北海道札幌市東区北十八条東十八丁目1番2号　食品資材ビル2階,011-792-7081,15人,1件,道路及び河川の調査
派01-300871,富樫清掃　株式会社,富樫清掃　株式会社,北海道岩見沢市岡山町129番地14,0126-22-0616,,,
派01-300872,株式会社　保工北海道,株式会社　保工北海道,北海道札幌市中央区北一条東十四丁目1番地12,011-241-7511,,,
派01-300873,株式会社　エムディシステム,株式会社　エムディシステム,北海道札幌市東区北十二条東十四丁目3番24号,011-733-7335,,,
派01-300875,ムカワ運輸　株式会社,ムカワ運輸　株式会社　むかわ支店,北海道勇払郡むかわ町大成1丁目6番地,0145-42-2556,,,
派01-300876,千歳相互観光バス　株式会社,千歳相互観光バス　株式会社　札幌営業所,北海道北広島市輪厚431番3,011-377-8811,,,
派01-300878,アルスマエヤ　株式会社,アルスマエヤ　株式会社　本社,北海道札幌市厚別区厚別中央4条3丁目7番17号,011-891-1280,,,
派01-300880,株式会社　小出コンサルタント,株式会社　小出コンサルタント,北海道釧路市川上町十丁目2番地の2,0154-25-7827,0人,0件,測量・設計
派01-300881,アイテックス　株式会社,アイテックス　株式会社,北海道札幌市西区発寒11条12丁目2番56号,011-213-8766,,,
派01-300882,株式会社　コスモ設計,株式会社　コスモ設計,北海道札幌市東区北7条東3丁目28番地32　井門札幌東ビル7階,011-769-9480,,,
派01-300883,ダットジャパン　株式会社,ダットジャパン　株式会社,北海道札幌市中央区南3条西5丁目1番地1　ノルベサ4階,011-330-3500,0人,0件,
派01-300884,有限会社　アブカワ建築工房,有限会社　アブカワ建築工房,北海道札幌市東区北二十二条東三丁目2番1号,011-722-8666,,,
派01-300885,株式会社　丸清基礎工業,株式会社　丸清基礎工業,北海道江別市工栄町21番地の8,011-382-3751,3人,1件,現場管理、建設業
派01-300886,東和工研　株式会社,東和工研　株式会社,北海道帯広市東一条南一丁目10番地,0155-22-8000,,,
派01-300888,株式会社　トラスト技研,株式会社　トラスト技研,北海道札幌市豊平区平岸一条十三丁目4番1号　シン技術コンサルビル4階,011-812-2634,,,
派01-300889,株式会社　ホートク,株式会社　ホートク,北海道室蘭市港北町五丁目103番地1,0143-55-2552,3人,1件,建設業
派01-300890,株式会社　ＨＢＡ,株式会社　ＨＢＡ,北海道札幌市中央区北四条西七丁目1番地8,011-231-8301,7人,,
派01-300891,株式会社　データー・プロダクト,株式会社　データー・プロダクト,北海道札幌市中央区北2条東7丁目83番地　HBAシステムビル3F,011-231-4297,,,
派01-300892,道伸建設　株式会社,道伸建設　株式会社,北海道札幌市東区北三十三条東十丁目5番15号,011-712-1001,,,
派01-300895,東京美装北海道　株式会社,東京美装北海道　株式会社　札幌支店,北海道札幌市中央区北2条西4丁目1　　札幌三井JPビルディング6階,011-251-1206,,,
